run_label,round,framework,backend_key,experiment,experiment_key,n_run,t_run,spike_path,spikes,active_neurons,status,timestamp,spike_schema_version,spike_time_column,spike_time_unit
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,4,10.0,data/results/nature_2026_05/round_01/brian2cuda_t10.0s_n4.parquet,680144,447,success,2026-05-22 16:43:15,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,4,100.0,data/results/nature_2026_05/round_01/brian2cuda_t100.0s_n4.parquet,6834702,471,success,2026-05-22 17:05:52,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,8,0.1,data/results/nature_2026_05/round_01/brian2cuda_t0.1s_n8.parquet,11891,386,success,2026-05-22 17:07:17,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,8,1.0,data/results/nature_2026_05/round_01/brian2cuda_t1.0s_n8.parquet,135898,432,success,2026-05-22 17:09:06,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,8,10.0,data/results/nature_2026_05/round_01/brian2cuda_t10.0s_n8.parquet,1361174,453,success,2026-05-22 17:14:46,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,8,100.0,data/results/nature_2026_05/round_01/brian2cuda_t100.0s_n8.parquet,13650553,486,success,2026-05-22 17:59:34,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,16,0.1,data/results/nature_2026_05/round_01/brian2cuda_t0.1s_n16.parquet,24230,383,success,2026-05-22 18:02:05,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,16,1.0,data/results/nature_2026_05/round_01/brian2cuda_t1.0s_n16.parquet,271197,436,success,2026-05-22 18:05:24,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,16,10.0,data/results/nature_2026_05/round_01/brian2cuda_t10.0s_n16.parquet,2726397,458,success,2026-05-22 18:16:27,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,16,100.0,data/results/nature_2026_05/round_01/brian2cuda_t100.0s_n16.parquet,27300546,492,success,2026-05-22 19:45:45,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,32,0.1,data/results/nature_2026_05/round_01/brian2cuda_t0.1s_n32.parquet,50361,412,success,2026-05-22 19:50:32,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,32,1.0,data/results/nature_2026_05/round_01/brian2cuda_t1.0s_n32.parquet,539390,454,success,2026-05-22 19:56:55,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,32,10.0,data/results/nature_2026_05/round_01/brian2cuda_t10.0s_n32.parquet,5461723,467,success,2026-05-22 20:18:51,1,time_ms,ms
nature_2026_05,1,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,32,100.0,data/results/nature_2026_05/round_01/brian2cuda_t100.0s_n32.parquet,54594863,494,success,2026-05-22 23:24:36,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,1,0.1,data/results/nature_2026_05/round_01/nestgpu_t0.1s_n1.parquet,1472,338,success,2026-05-22 23:24:42,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,1,1.0,data/results/nature_2026_05/round_01/nestgpu_t1.0s_n1.parquet,17233,412,success,2026-05-22 23:24:49,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,1,10.0,data/results/nature_2026_05/round_01/nestgpu_t10.0s_n1.parquet,172561,433,success,2026-05-22 23:25:05,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,1,100.0,data/results/nature_2026_05/round_01/nestgpu_t100.0s_n1.parquet,1626102,456,success,2026-05-22 23:26:59,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,4,0.1,data/results/nature_2026_05/round_01/nestgpu_t0.1s_n4.parquet,5888,338,success,2026-05-22 23:27:18,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,4,1.0,data/results/nature_2026_05/round_01/nestgpu_t1.0s_n4.parquet,68932,412,success,2026-05-22 23:27:43,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,4,10.0,data/results/nature_2026_05/round_01/nestgpu_t10.0s_n4.parquet,690244,433,success,2026-05-22 23:28:51,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,4,100.0,data/results/nature_2026_05/round_01/nestgpu_t100.0s_n4.parquet,6504408,456,success,2026-05-22 23:37:12,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,8,0.1,data/results/nature_2026_05/round_01/nestgpu_t0.1s_n8.parquet,11776,338,success,2026-05-22 23:37:54,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,8,1.0,data/results/nature_2026_05/round_01/nestgpu_t1.0s_n8.parquet,137864,412,success,2026-05-22 23:38:44,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,8,10.0,data/results/nature_2026_05/round_01/nestgpu_t10.0s_n8.parquet,1380488,433,success,2026-05-22 23:40:53,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,8,100.0,data/results/nature_2026_05/round_01/nestgpu_t100.0s_n8.parquet,13008816,456,success,2026-05-22 23:56:11,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,16,0.1,data/results/nature_2026_05/round_01/nestgpu_t0.1s_n16.parquet,23552,338,success,2026-05-22 23:57:30,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,16,1.0,data/results/nature_2026_05/round_01/nestgpu_t1.0s_n16.parquet,275728,412,success,2026-05-22 23:59:09,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,16,10.0,data/results/nature_2026_05/round_01/nestgpu_t10.0s_n16.parquet,2760976,433,success,2026-05-23 00:03:05,1,time_ms,ms
