run_label,round,reference_framework,comparison_framework,reference_backend,comparison_backend,n_run,t_run,tolerance_ms,spikes_reference,spikes_comparison,spike_count_ratio_comparison_over_reference,active_reference,active_comparison,active_shared,active_union,active_jaccard,active_precision_comparison_over_reference,active_recall_comparison_over_reference,rate_pearson_shared,rate_rmse_hz_shared,rate_mae_hz_shared,timing_matches,timing_f1,timing_precision_comparison_over_reference,timing_recall_comparison_over_reference,timing_mean_abs_dt_ms,timing_median_abs_dt_ms,reference_spike_path,comparison_spike_path
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,16,0.1,1.0,24506,24663,1.006407,388,407,374,421,0.888361,0.918919,0.963918,0.99439026,4.937147,2.737299,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n16.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t0.1s_n16.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,16,1.0,1.0,270595,269233,0.994967,443,437,434,446,0.973094,0.993135,0.979684,0.99970052,1.192035,0.616791,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n16.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t1.0s_n16.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,16,10.0,1.0,2730441,2722130,0.996956,458,451,449,460,0.976087,0.995565,0.980349,0.99996052,0.438498,0.247856,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n16.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t10.0s_n16.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,16,100.0,1.0,27298882,27305954,1.000259,488,492,486,494,0.983806,0.987805,0.995902,0.99999555,0.137035,0.058974,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n16.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t100.0s_n16.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,32,0.1,1.0,49013,49389,1.007671,421,421,411,431,0.953596,0.976247,0.976247,0.9975803,3.197383,1.637774,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t0.1s_n32.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t0.1s_n32.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,32,1.0,1.0,541136,540154,0.998185,447,443,439,451,0.973392,0.990971,0.982103,0.99986365,0.770976,0.419134,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t1.0s_n32.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t1.0s_n32.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,32,10.0,1.0,5460985,5448530,0.997719,472,467,460,479,0.960334,0.985011,0.974576,0.99997347,0.350054,0.191053,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t10.0s_n32.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t10.0s_n32.parquet
nature_2026_05,1,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,32,100.0,1.0,54594602,54600041,1.0001,497,495,491,501,0.98004,0.991919,0.987928,0.99999901,0.064363,0.034367,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2cpp_t100.0s_n32.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_01/brian2genn_t100.0s_n32.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,0.1,1.0,1574,1703,1.081957,325,345,316,354,0.892655,0.915942,0.972308,0.95183092,16.979138,8.322785,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t0.1s_n1.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,1.0,1.0,17011,17216,1.012051,397,412,389,420,0.92619,0.944175,0.979849,0.99535694,4.627791,2.491003,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t1.0s_n1.parquet
