run_label,round,n_run,t_run,flywire_id,reference_backend,comparison_backend,reference_framework,comparison_framework,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,1,0.1,720575940612558061,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940612648106,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940612670570,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),170.0,180.0
nature_2026_05,1,1,0.1,720575940612692633,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,60.0
nature_2026_05,1,1,0.1,720575940612888178,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,30.0
nature_2026_05,1,1,0.1,720575940612906518,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),80.0,80.0
nature_2026_05,1,1,0.1,720575940612952557,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,10.0
nature_2026_05,1,1,0.1,720575940613004402,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940613347299,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,10.0
nature_2026_05,1,1,0.1,720575940613670893,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940613687789,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940613743569,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940613929391,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,30.0
nature_2026_05,1,1,0.1,720575940613943215,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940614128691,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940614660519,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,30.0
nature_2026_05,1,1,0.1,720575940614730914,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),0.0,10.0
nature_2026_05,1,1,0.1,720575940614763666,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),100.0,80.0
nature_2026_05,1,1,0.1,720575940615023535,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940615052812,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940615153494,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940615296818,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940615623867,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940615671106,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),90.0,60.0
nature_2026_05,1,1,0.1,720575940615811670,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940616018956,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),80.0,80.0
nature_2026_05,1,1,0.1,720575940616103218,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),90.0,80.0
nature_2026_05,1,1,0.1,720575940616466260,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,40.0
nature_2026_05,1,1,0.1,720575940616864086,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940616864217,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
