framework,backend_key,n_run,t_run,normal_rounds,normal_sim_median_s,normal_sim_min_s,normal_sim_max_s,noio_sim_s,sim_reduction_pct,normal_total_median_s,normal_total_min_s,normal_total_max_s,noio_total_s,total_reduction_pct,noio_sim_below_all_normal_rounds,noio_total_below_all_normal_rounds
Brian2CUDA (GPU),brian2cuda,32,10,5,1462.400000,1373.412000,2544.060000,1084.527000,25.839,1503.106000,1410.790000,2595.147000,1100.598000,26.778,true,true
Brian2CUDA (GPU),brian2cuda,32,100,5,12147.043000,11863.387000,18022.245000,12235.034000,-0.724,12298.098000,12011.831000,18182.569000,12252.464000,0.371,false,false
PyTorch (CUDA),pytorch,1,0.1,5,1.174000,1.005000,1.268000,0.715000,39.097,3.194000,1.969000,3.604000,1.934000,39.449,true,true
PyTorch (CUDA),pytorch,1,1,5,9.817000,9.142000,11.053000,6.546000,33.320,10.695000,9.819000,12.219000,7.600000,28.939,true,true
PyTorch (CUDA),pytorch,1,10,5,98.391000,91.058000,114.859000,65.093000,33.843,99.732000,92.027000,116.513000,65.980000,33.843,true,true
PyTorch (CUDA),pytorch,1,100,5,1002.408000,926.809000,1026.610000,651.351000,35.021,1007.352000,931.473000,1031.545000,652.385000,35.238,true,true
PyTorch (CUDA),pytorch,4,0.1,5,3.572000,3.302000,3.705000,2.919000,18.281,4.160000,3.861000,4.348000,3.843000,7.620,true,true
PyTorch (CUDA),pytorch,4,1,5,33.074000,30.596000,34.478000,28.984000,12.366,33.731000,31.199000,35.031000,29.888000,11.393,true,true
PyTorch (CUDA),pytorch,4,10,5,333.591000,309.222000,338.962000,290.548000,12.903,334.857000,310.457000,340.181000,291.434000,12.968,true,true
PyTorch (CUDA),pytorch,4,100,5,3339.210000,3135.144000,3381.599000,2908.648000,12.894,3347.572000,3142.930000,3390.058000,2909.608000,13.083,true,true
PyTorch (CUDA),pytorch,8,0.1,5,5.175000,4.857000,5.395000,4.502000,13.005,5.690000,5.445000,6.163000,5.424000,4.675,true,true
PyTorch (CUDA),pytorch,8,1,5,49.505000,46.709000,51.126000,45.063000,8.973,50.072000,47.443000,51.748000,45.972000,8.188,true,true
PyTorch (CUDA),pytorch,8,10,5,497.777000,471.303000,511.535000,450.721000,9.453,499.111000,472.618000,512.945000,451.624000,9.514,true,true
PyTorch (CUDA),pytorch,8,100,5,5003.577000,4737.911000,5127.092000,4518.745000,9.690,5013.831000,4747.041000,5140.057000,4519.662000,9.856,true,true
PyTorch (CUDA),pytorch,16,0.1,5,9.424000,8.943000,9.894000,8.763000,7.014,10.011000,9.484000,11.002000,9.666000,3.446,true,false
PyTorch (CUDA),pytorch,16,1,5,92.759000,88.257000,96.239000,87.716000,5.437,93.413000,88.847000,97.108000,88.639000,5.111,true,true
PyTorch (CUDA),pytorch,16,10,5,927.745000,882.040000,956.954000,872.854000,5.917,929.611000,883.772000,959.106000,873.773000,6.007,true,true
PyTorch (CUDA),pytorch,16,100,5,9179.910000,8862.503000,9520.478000,8717.725000,5.035,9195.965000,8877.450000,9542.494000,8718.640000,5.191,true,true
PyTorch (CUDA),pytorch,32,0.1,5,18.781000,17.953000,19.230000,17.799000,5.229,19.521000,18.545000,22.133000,18.794000,3.724,true,false
PyTorch (CUDA),pytorch,32,1,5,185.552000,178.737000,192.099000,178.468000,3.818,186.409000,179.484000,193.099000,179.391000,3.765,true,true
PyTorch (CUDA),pytorch,32,10,5,1856.601000,1786.068000,1917.410000,1821.647000,1.883,1859.597000,1788.869000,1920.589000,1822.604000,1.989,false,false
PyTorch (CUDA),pytorch,32,100,5,18512.295000,18164.534000,19723.264000,18391.769000,0.651,18538.880000,18192.152000,19756.577000,18392.812000,0.788,false,false
NEST GPU,nestgpu,1,0.1,5,0.199000,0.135000,0.239000,0.169000,15.075,5.926000,5.378000,6.625000,5.726000,3.375,false,false
NEST GPU,nestgpu,1,1,5,1.003000,0.950000,1.179000,1.278000,-27.418,6.538000,5.893000,7.030000,5.643000,13.689,false,true
NEST GPU,nestgpu,1,10,5,9.920000,8.828000,13.341000,12.775000,-28.780,15.389000,14.065000,19.062000,17.997000,-16.947,false,false
NEST GPU,nestgpu,1,100,5,100.524000,90.193000,143.509000,126.602000,-25.942,112.317000,101.289000,156.170000,130.991000,-16.626,false,false
NEST GPU,nestgpu,4,0.1,5,0.595000,0.512000,0.626000,0.669000,-12.437,22.016000,20.644000,24.041000,21.738000,1.263,false,false
NEST GPU,nestgpu,4,1,5,4.219000,3.752000,4.850000,5.240000,-24.200,26.155000,23.475000,26.620000,25.887000,1.025,false,false
NEST GPU,nestgpu,4,10,5,41.360000,35.586000,53.726000,51.489000,-24.490,63.287000,56.436000,77.195000,68.826000,-8.752,false,false
NEST GPU,nestgpu,4,100,5,403.594000,362.197000,573.829000,489.993000,-21.407,451.905000,406.939000,624.610000,507.191000,-12.234,false,false
NEST GPU,nestgpu,8,0.1,5,1.097000,1.076000,1.252000,1.169000,-6.563,44.423000,40.991000,46.502000,42.827000,3.593,false,false
NEST GPU,nestgpu,8,1,5,8.012000,7.680000,9.014000,9.023000,-12.619,50.328000,47.239000,53.707000,47.724000,5.174,false,false
NEST GPU,nestgpu,8,10,5,78.885000,74.883000,95.009000,90.058000,-14.164,122.658000,117.280000,143.002000,124.745000,-1.701,false,false
NEST GPU,nestgpu,8,100,5,879.957000,757.573000,939.556000,987.446000,-12.215,986.230000,848.785000,1047.691000,1022.075000,-3.635,false,false
NEST GPU,nestgpu,16,0.1,5,2.368000,2.035000,2.664000,2.548000,-7.601,91.315000,81.161000,96.665000,77.814000,14.785,false,true
NEST GPU,nestgpu,16,1,5,17.683000,15.788000,19.008000,20.102000,-13.680,105.640000,94.598000,110.959000,92.587000,12.356,false,true
NEST GPU,nestgpu,16,10,5,182.859000,152.912000,318.729000,176.659000,3.391,279.550000,242.782000,414.354000,247.458000,11.480,false,false
NEST GPU,nestgpu,16,100,5,1962.650000,1535.564000,3789.663000,1695.282000,13.623,2224.081000,1714.853000,4013.110000,1765.531000,20.618,false,false
NEST GPU,nestgpu,32,0.1,5,4.772000,4.168000,8.177000,4.487000,5.972,187.278000,160.358000,207.313000,158.640000,15.292,false,true
NEST GPU,nestgpu,32,1,5,33.866000,30.412000,69.572000,33.637000,0.676,208.513000,189.552000,251.688000,176.018000,15.584,false,true
NEST GPU,nestgpu,32,10,5,350.137000,278.720000,597.163000,336.867000,3.790,549.665000,445.734000,787.400000,477.174000,13.188,false,false
NEST GPU,nestgpu,32,100,5,3431.327000,2845.629000,3648.682000,3212.393000,6.380,3830.740000,3203.455000,4113.471000,3347.402000,12.617,false,false
GeNN (GPU),genn,1,0.1,5,0.052000,0.045000,1.808000,0.051000,1.923,15.545000,11.627000,20.169000,15.061000,3.114,false,false
GeNN (GPU),genn,1,1,5,0.539000,0.471000,0.707000,0.544000,-0.928,15.222000,13.706000,16.617000,14.073000,7.548,false,false
GeNN (GPU),genn,1,10,5,5.747000,4.698000,7.458000,4.903000,14.686,21.384000,19.154000,25.129000,18.291000,14.464,false,true
